,link,title,description,catagory
0,FGe3KhkNx,"Mouthwatering INDIAN STREET FOOD Breakfast Tour - Puri, Sabji & Raj Kachori | Jorhat, Assam, India","Subscribe to my channel ► http://bit.ly/DBH-SUB 
Check out my blog ► http://davidsbeenhere.com/ 

In March of 2019, I took one of my favorite trips of all time when I traveled to northeast India and spent two weeks exploring the states of Assam and Meghalaya. What I found there blew my mind. The people, culture, and food were so different from what I was used to in India. My time there really broadened my mind about what India is. I hope you enjoy watching these videos as much as I enjoyed making them.

Follow Rishi on Instagram: www.instagram.com/collosal_appetite

After arriving in Jorhat the previous evening and going on a nighttime street food tour, I linked back up with my boy Rishi the next morning to go on a phenomenal Indian breakfast street food tour. I was hungry, so I couldn’t wait to eat some amazing street food!

We kicked off our tour at a small, cozy spot called Laxmi. There, Rishi and I got some puri and sabji that contains chickpeas and potatoes. The puris are nice, crispy, and flaky and the sabji is so flavorful and has nice chunks of potato in it. I added some spicy chili chutney to give it a nice kick. I also got some chai, which I let sit for several minutes to let it cool off. It was super frothy and creamy but needed to sit for a little longer.

I love to make mini tacos with the puri and sabji. They’re so good together. The dish comes with three puris, so you get more than enough to finish off your sabji, but you can always get more. Everything was so good that I got a second helping of all of it, including the chai! Our total came to 70 rupees (or just over $1 U.S.) for both of us together. What a deal!

From there, we got back on Rishi’s scooter and headed to a local market. The streets were pretty wild! There were people, cars, and cows everywhere! The shop Rishi took me to didn’t have a name. There, we got rotis and more sabji. This sabji came with a lot more chickpeas and less potatoes than the first one and was served with a spicy chutney on the side. It also contained greens, which was different.

The chutney was different and not as spicy as the last one. It contained some fruits and veggies and was really nice. It was almost like a salsa! I wasn’t a huge fan of the roti (I actually preferred the puri from the last place) but the sabji was amazing! It only cost 25 rupees, or about $0.36 U.S. 

Before our next food spot, we stopped at a Rajmao Pukhuri, a huge pond in the center of Jorhat. This pond is man-made and was constructed by the Ahoms. There are no turtles or ducks there, but there are fish in its waters!

From the pond, we set off to our next destination. Jorhat was an interesting place. It wasn’t small, but at the same time, it wasn’t huge either. My hotel was in the central business district but we were making our way through the suburbs where people live. There were lots of vendors selling fruit and clothes by the side of the road.

We arrived at Crunchy Bites to have some raj kachori. I’d never had it before. It’s a big, crunchy kachori that’s stuffed with potatoes, tomatoes, onions, sev, white sauce, tamarind chutney, and masala. It’s an amazing-looking chaat and it tastes as good as it looks! It didn’t contain any spice but had tons of flavors, including something similar to sour cream and the sweetness from the tamarind chutney.

I loved breaking pieces of the kachori into the filling and eating it all together. It was so yummy and filling! It was the best thing I ate that day but I was too full to finish it! The raj kachori only cost 60 rupees, or $0.86 U.S.

Next, we visited an inexpensive central market. You have to cross a bridge to get to it. The market contains six different lanes and lots of tiny stalls, some of them only 5 feet in width. I couldn’t wait to do some shopping!

There were lots of clothing shops, as well as others selling jewelry, shoes, and backpacks. There was a stall selling spices and mouth fresheners as well as onions and peppers. There were lots of spice shops and others selling flattened rice. There were also tailors. This place is only visited by locals, so it’s a real, immersive experience!

I hope you enjoyed coming along on my breakfast street food and market tour in Jorhat! If you did, please give it a thumbs up and leave me a comment! And please subscribe to my channel so you don’t miss any of my upcoming travel/food content!

☆ CONTACT ☆ ► Business: david@godandbeauty.com  
_____ 
My Film Making Kit ►  
_____ 
BOOK YOUR NEXT ADVENTURE: ►   
_____ 
FOLLOW ME: 
+ INSTAGRAM ►  
+ FACEBOOK ►  
+ TWITTER ►  
_____
      
_____ 
SEND ME STUFF: 
5858 SW 81 ST 
Miami, FL 33143 
USA 
_____ 
P.S. Thank you for watching my videos and subscribing!",Food
1,ihwAF-zahsA,The Try Guys $850 Indian Food Challenge ft. Lilly Singh,"The guys eat and learn about delicious Indian food from different restaurants with special guest Lilly Singh! 

⚡THE TRY GUYS LEGENDS OF THE INTERNET TOUR ⚡: tickets available on Friday, May 10 at 12PM EST / 9AM PST at 

🎧THE TRYPOD 🎧: watch our new podcast at  or listen at 

📘THE HIDDEN POWER OF F*CKING UP 📘: check out our new book at 

🐝BEES  🐝: available anywhere nature exists

Get your official Try Guys color hoodies and phone cases at  💙❤️💚💜

Support us! . Join our Patreon to get videos a day early, plus, live streams, chatrooms, BTS footage, exclusive merchandise, and more!

SUBSCRIBE TO AND FOLLOW THE TRY GUYS 

  



FOLLOW THE GUYS




 

 

 

THE TRY GUYS
The  is the flagship channel of 2ND TRY, LLC. Tune in twice a week for shows from Keith, Ned, Zach and Eugene, the creators and stars of The Try Guys.

FEATURING: 
Lilly Singh 



SPECIAL THANKS

Samosa House
Vidit Jain, Owner
Vibha Bhojak, Owner


Badmaash
Nakul Mahendro, Co-Owner
Arjun Mahendro, Co-Owner


Spice Affair
Sonia Batra, President
Dr. Chandak, Owner


EDITED BY
YB Chang

MUSIC
Licensed from AudioNetwork

SFX
Licensed from Audioblocks

VIDEO
Licensed from Videoblocks

Official Try Guys Photos 
By Mandee Johnson Photography | @mandeephoto

2nd Try, LLC STAFF
Executive Producer - Keith Habersberger
Executive Producer - Ned Fulmer
Executive Producer - Zach Kornfeld
Executive Producer - Eugene Lee Yang
Producer - Rachel Ann Cole
Producer - Nick Rufca
Production Manager - Alexandria Herring
Editor - Devlin McCluskey
Editor - YB Chang
Editor - Elliot Dickerhoof
Assistant Editor - Will Witwer
Camera Operator - Miles Bonsignore
Production Assistant - Sam Johnson
Social Media Manager - Izzy Francke

ADDITIONAL CREW: 
Camera Operator - Daryl Gilmore
Camera Operator - Marcin Banasiak 
Sound Operator - Amro Helmy",Food
2,qgSaNOlCTE,HOME MADE MEAT AND RICE EATING | INDIAN FOOD CHALLENGE | SIMPLE MUTTON CURRY |,"HI EVERYONE HERE WE TAKE FOOD CHALLENGES, THIS IS AN ENTERTAINING PURPOSE IF YOU WANT MORE PLEASE LIKE AND SUBSCRIBE OUR HANG ON CHALLENGE CHANNEL.",Food
3,Fv5HiLnv5g,Japanese Guys Try South Indian Food for the First Time,"Most Indian restaurants in Japan are North Indian. Today we visit the very first restaurant to serve South Indian cuisine in Japan.

Minami Indo Dining
1 Chome-23-23 Arai, Nakano City, Tokyo 165-0026, Japan

Subscribe! 
Support us on Patreon 

Check out our new Merch! More coming soon!


Find your Japanese snacks and ingredients here


New videos every Tuesday, Thursday & Saturday. Weekly livestream every Sunday at 1PM Japan Time. 
Recipes, food reviews, travel videos and more!

Instagram : 
Facebook : 

+++++++++++++++++++++++++++++++++++++++++++++
Intro Music by Matthijs den Daas
Contact@TiceTunes.com
twitter @TiceTunes

Music courtesy of Audio Network",Food
4,Rs3HnGVQIxI,UNIQUE Vegetarian STREET FOOD Tour in Hyderabad | Live Soda + Ice Cream Dosa + Pav Bhaji Manchuria,"► More Street Food in Hyderabad:  https://www.youtube.com/watch?v=Kt3mt...

► Subscribe to Delhi Food Walks: 

Even though the city of Hyderabad is more famous for its legendary quintessential non vegetarian wonders that are evidently more conspicuous in its culinary landscape, there is absolutely no dearth of delectable native or popular vegetarian delights in the city. So in this fun filled gastronomic sojourn we braced ourselves to gorge on some delicious vegetarian street side dishes that are widely popular among  the locals. Our host, Sankalp Vishnu, a renowned food expert in the city, took us around the vibrant locality across P G Road, Sindhi colony, Secunderabad that is well known for a wide range of regional vegetarian street food offerings. Let’s get started.

Our first stop was Top and Tasty, where we tried the Indo chinese style Manchuria pav bhaji. This innovative take on the regular pav bhaji was indeed very delicious. The garlic,red chilli punch as imbibed from the manchurian style of cooking made the dish surprisingly indulgent. 

The second stop was Shivaling Chaat corner where we tried a delicious serving of Hyderabadi style matar(yellow pea) chaat. This savoury and tangy playful dish was topped with sweetened curd, sev and sweet chutney. Unlike its North Indian counterparts, this chaat was served hot. Though that didn't diminish the fun.

The third joint that we stopped by was the Chachaji food cart where we got to taste a delicious Dabeli, a popular Gujarati snack. The perfectly balanced sweet and savoury flavour of the Dabeli was beautifully complemented by the super tasty peanut chutney. It’s a must try snack if you love the sweet notes in your dish.

The fourth place where we halted was a dosa kiosk named Dosa Verito,right outside the Mayur Pan shop. It boasts of 151 varieties of dosas. After much deliberation we settled for the macaroni pasta dosa and blueberry ice cream dosa. The former one was super cheesy and irresistible while the latter one was a truly luscious fusion treat. 

Our fifth stop was Bombay chaat house where we tried the Hyderabadi version of the Mumbai special Vada Pav. The dry garlic chutney and the unusual garnish of chopped onions enhanced its taste. 

From there we went on to our sixth stop, the Famous and Live Soda where we tried their best selling item the digest soda that is essentially soda mixed with a concentrate prepared with sugar and digestive spices like cumin ,rock salt etc. It was super refreshing and appeasing. 

This delectable veg street food journey concluded with a Paan treat from the popular paan shop in the area the Dimmy’s Paan Place. Its was a perfect way to end this awesome exploration. 

We confer our heartfelt thanks to Sankalp Bhai for introducing us to the best veg street food offerings.

  

About the host - Anubhav Sapra:

Anubhav Sapra is an avid foodie! He is a Founder but proudly calls himself a Foodie-in-chief at Delhi Food Walks. He is also a street-food and Indian regional cuisine connoisseur and loves to write about street-food. To know more, visit www.anubhavsapra.com 

Please subscribe to our YouTube channel to keep our Indian street food explorations video in your feed! 

Thank you for watching! 

Facebook:  
Twitter:  
Instagram:  
Website: 

Design and filmed by Rahul Singh 
Instagram - 

Text by Swetaleena Nayak",Food
5,rb-b2SVHU4,We Tried Indian Breakfast Street Food in Old Delhi,"Thanks to Cyberghost VPN for supporting this channel - download it today: http://bit.ly/2PsM8gZ

In our last day here in Delhi we are on the hunt for more incredible street food - this time we want to find out what Indians eat for Breakfast.

Check out Delhi Food Walks: 

We headed out to Old Delhi on a Sunday in the morning to try some indian breakfast street food. There were so many delicious foods that we tried:
- Nagori Halwa
- Daulat ki chaat
- Chole Kulche
- Aloo Matar
- Special Irani Sheermal
- Jalebi
- Bhatura
- Gulabjamun
- Gujiya
- Kaju, Sew Badam, Karanchi Halwa
- Kesar Badam Lassi
- Chai

Tour we are on in India with On the Go Tours: 

Where we get our incredible music from:    (--- Great music for Travel Vlogs & YouTube music for your videos)

Gear we shot this video with - 

SUBSCRIBE TO NEVER MISS AN EPISODE: 

----------------------------------------­­--
FLYING THE NEST: 
Website • 
Facebook • 
Twitter • 
Snapchat •  

STEPHEN:
Instagram • 
Twitter • 

JESS:
Instagram • 
Twitter • 

---------------------------------------­­--
Who we use for travel insurance: 
Flying the Nest Merch: 

Hi, we are Stephen & Jess, Australian vloggers documenting our first year of leaving home and travelling around the globe. We want to inspire others to venture out, explore, take risks and go on our own adventure!!

We also run a travel, tech and lifestyle blog over at www.flyingthenest.tv if you want to see personal recounts, photography, tips & wanderlust inspiration from Flying the Nest.

----------------------------------------­­--
End credit song: Ticky Tacky by Biocratic: 
----------------------------------------­­--

For list of full Camera Equipment we use - 
Video Edited on Gigabyte Aero 15: ",Food
6,GMPh6t-lwjM,"Indian STREET FOOD Tour at Night - Momos, Vada Pav & Chicken Tandoori | Jorhat, Assam, India","Subscribe to my channel ► http://bit.ly/DBH-SUB 
Check out my blog ► http://davidsbeenhere.com/ 

One of the things I love the most about travel is that destinations are never just one thing. They’re multi-layered and diverse. A prime example of that is India, a country I’ve now visited three times. The states of Assam and Meghalaya in northeast India, which I explored in March of 2019, are so different from other parts of the country, from the people to the culture to the landscapes to the food. It’s so exciting to get more of a sense of what India is and I’m thrilled to share this gorgeous and unique region with you!

Follow Rishi on Instagram: www.instagram.com/collosal_appetite

My first night in the Assamese city of Jorhat continued as my friend Rishi and I headed out on a nighttime street food tour I will never forget! Jorhat is very close to China, so there are lots of Chinese and even Mongolian influences in the cuisine there. I couldn’t wait to taste them for myself!

First, we headed to Break Time to get some momos. These momos are steamed first and then fried. A rich and spicy red sauce with pepper and chilies is made and the momos are stir-fried with it. These momos weren’t too hot and I loved the red sauce! They were the best fried momos I’d ever had. They were still crunchy on the outside and super juicy in the middle. The chicken inside was minced and perfectly cooked. They’re super filling and were like spicy, Szechwan-inspired momos. I was in love with them! You get a massive plate of them for only 60 rupees, or roughly $0.86 U.S.

Next, we headed back out and got some Vada Pav at Delhi Chaat House. Vada Pav is a potato fritter that is served on a bun with chutneys and is sometimes referred to as an Indian burger. I’d had it before in Mumbai and Pune and couldn’t wait to try it again. It was served with mustard, sweet sauce, coriander chutney, and a spicy sauce. The sweet sauce was so tasty. The bun was super fluffy and the spicy sauce was really hot! I also loved the coriander chutney. It was an amazing potato mash sandwich! It only cost about 40 rupees, or about $0.58 U.S.  

After that, we continued our street food tour by heading back out and getting some spicy chicken wings at Seev’s. They use the second spiciest peppers in the world, ghost peppers, in their wings. There was a honey glazed sauce on it that contained the peppers. The chicken wasn’t that hot but was super juicy. The heat made my lips tingle a little bit as I continued eating.

We also got some double-marinated chicken tandoori drumsticks, which had a thick, white sauce on them. I loved the smoky flavor and the glaze was so creamy and cheesy. I was in love with them! I added some mint chutney to them which was great. The sauce was like a soft brie cheese. Our total there came to 450 rupees ($6.49 U.S.): 250 ($3.60 U.S.) for the wings and 200 ($2.88 U.S.) for the tandoori drumsticks.

Next, we were back on the streets of Jorhat to get some spicy pani puri! Pani Puri is my favorite Indian dish of all time and my mouth was all set for a spicy version of it! They’re made of leavened, hollow flatbread that is filled with an aloo (potato) mixture, chilies, onions, pani (spiced water), and a spicy sauce. It was super hot and really good. I loved the crunch and chunks of potato. I’d never had pani puri this spicy! It costs 10 rupees ($0.14 U.S.) for 5 puris and the vendor keeps giving you more until you say you’re done.

The vendor also gave me a dry one without pani that I liked even better! I could honestly eat pani puri forever. The dry ones without the pani were so fantastic! I loved them so much. They were both spicy and sweet and had an incredible flavor combination. And even though it’s 10 rupees for 5, the vendor actually gives you an extra one for free!

Our final destination was Ice Station, where we got some rose lassi. I hadn’t had lassi in a while and I wanted to cool my mouth off after the spicy pani puri. It was delicious and milky and more like a shake. They put nuts on top, which add a nice crunch. I’d had a thicker lassi in Amritsar but I really liked this one, too. It had a nice rose flavor and helped me beat the fiery feeling in my mouth, so it did the trick! 

I hope you loved my nighttime street food tour of Jorhat! If you did, please give it a thumbs up and leave me a comment. Also, please subscribe to my channel.

☆ CONTACT ☆ ► Business: david@godandbeauty.com  
_____ 
My Film Making Kit ►  
_____ 
BOOK YOUR NEXT ADVENTURE: ►   
_____ 
FOLLOW ME: 
+ INSTAGRAM ►  
+ FACEBOOK ►  
+ TWITTER ►  
_____
      
_____ 
SEND ME STUFF: 
5858 SW 81 ST 
Miami, FL 33143 
USA 
_____ 
P.S. Thank you for watching my videos and subscribing!",Food
7,Xj_j52QJTO4,VEG Street Food in Loafer's Lane with Veggiepaaji | Bangalore Food Tour,"In the 3rd Episode of Bangalore Food Tour ( South India), we will explore Loafers Lane. This lane is named after the Cool College Kids and serves some amazing Avocado Shake, Cheesecake, Jackfruit, Keeri, Veg Keema Samosa and a lot more.
Bangalore is known for its Idli, dosa, vadas, various bath and Filter Coffee and in the next few videos, we will explore them all.

My 2nd Channel Travelling Paaji 🔥🔥


If you like 'VEG Street Food in Loafer's Lane with Veggiepaaji | Bangalore Food Tour ' video, make sure to subscribe to the channel. I upload vegetarian food four times a week.

This is the 3rd Episode of the Bangalore Food Series
Watch all other Episodes here: 


Mathura Vrindavan Food Series:


Agra Food Series:


Jaipur Food Series:  

Mumbai Food Series: 

Kolkata Food Series: 

Support your Paaji, use this link to Shop :)


Major Savings On these deals:


Tech(Cameras, Mic, etc) I use to Make Youtube Videos:


Subscribe to never miss an update from Veggiepaaji at
Youtube.com/veggiepaaji

Follow Me on Social Media for Daily Coverage of Tasty Vegetarian Food 




Location: 
Loafer's Lane Bangalore

        
      
                


Songs Used: 


Ap College main kaise Bache the/ho?
Comment karke batao


Ghumna/ Travelling Pasand hai hai toh isse dekho🔥🔥🔥🔥

Channel subscribe aur share nahi kara toh fatafat kar lo main apse next video main milta hu :)",Food
8,G72Oz_HjsU4,LIVING on $1 INDIAN STREET FOOD for 24 HOURS!,"For 24 Hours I lived just on one dollar Indian street food meals. This 24 hour challenge was an interesting way to embrace the Indian culture of cheap street food! Follow the adventure in India - Instagram: iamlivingbobby

Vanisha: 

Join the fam: .

MY GEAR:
My Camera - 
Cheap camera (still awesome ones in the used department):  
Main Lens - 
Microphone - 
Drone - 

MY MUSIC (click to get FREE trial):  ",Food
9,PfLYUamMd1,Eating INDIAN FOOD in VIETNAM,"APPAREL HERE:
https://qtquangtran.com/

My ASMR CHANNEL LINK HERE: 


MY YOUTUBE CHANNEL: QUANG TRAN


Follow me on INSTAGRAM


Support me on FACEBOOK


Follow me on SNAPCHAT: qtquang

INQUIRES: qtran789@hotmail.com

My PO Box:
Quang Tran
PO Box 70016 LONDONDERRY
EDMONTON AB
T5C3R6",Food
